goos: linux
goarch: amd64
pkg: github.com/asserchiu/go-utils/strconcator
Benchmark_100_StringsBuilder-4                 	 1000000	      1558 ns/op	    1016 B/op	       7 allocs/op
Benchmark_100_StringsBuilder-4                 	 1000000	      1584 ns/op	    1016 B/op	       7 allocs/op
Benchmark_100_StringsBuilder-4                 	 1000000	      1511 ns/op	    1016 B/op	       7 allocs/op
Benchmark_100_StringsBuilder-4                 	 1000000	      1572 ns/op	    1016 B/op	       7 allocs/op
Benchmark_100_StringsBuilder-4                 	 1000000	      1560 ns/op	    1016 B/op	       7 allocs/op
Benchmark_1000_PlusEqual-4                     	    2000	    761596 ns/op	 1602960 B/op	     999 allocs/op
Benchmark_1000_PlusEqual-4                     	    2000	    780762 ns/op	 1602960 B/op	     999 allocs/op
Benchmark_1000_PlusEqual-4                     	    2000	    774402 ns/op	 1602960 B/op	     999 allocs/op
Benchmark_1000_PlusEqual-4                     	    2000	    761246 ns/op	 1602960 B/op	     999 allocs/op
Benchmark_1000_PlusEqual-4                     	    2000	    788499 ns/op	 1602960 B/op	     999 allocs/op
Benchmark_1000_PlusEqual-4                     	    2000	    760996 ns/op	 1602960 B/op	     999 allocs/op
Benchmark_1000_PlusEqual-4                     	    2000	    762868 ns/op	 1602960 B/op	     999 allocs/op
Benchmark_1000_PlusEqual-4                     	    2000	    761932 ns/op	 1602960 B/op	     999 allocs/op
Benchmark_1000_PlusEqual-4                     	    2000	    758318 ns/op	 1602960 B/op	     999 allocs/op
Benchmark_1000_PlusEqual-4                     	    2000	    758106 ns/op	 1602960 B/op	     999 allocs/op
Benchmark_1000_StringConcator_WriteString-4    	  200000	     10787 ns/op	   10264 B/op	      12 allocs/op
Benchmark_1000_StringConcator_WriteString-4    	  200000	     11056 ns/op	   10264 B/op	      12 allocs/op
Benchmark_1000_StringConcator_WriteString-4    	  200000	     11022 ns/op	   10264 B/op	      12 allocs/op
Benchmark_1000_StringConcator_WriteString-4    	  200000	     10976 ns/op	   10264 B/op	      12 allocs/op
Benchmark_1000_StringConcator_WriteString-4    	  200000	     11183 ns/op	   10264 B/op	      12 allocs/op
Benchmark_1000_StringConcator_WriteString-4    	  100000	     11075 ns/op	   10264 B/op	      12 allocs/op
Benchmark_1000_StringConcator_WriteString-4    	  200000	     10958 ns/op	   10264 B/op	      12 allocs/op
Benchmark_1000_StringConcator_WriteString-4    	  200000	     10898 ns/op	   10264 B/op	      12 allocs/op
Benchmark_1000_StringConcator_WriteString-4    	  200000	     10849 ns/op	   10264 B/op	      12 allocs/op
Benchmark_1000_StringConcator_WriteString-4    	  100000	     10726 ns/op	   10264 B/op	      12 allocs/op
Benchmark_1000_StringConcator_WriteStrings-4   	   30000	     49076 ns/op	   10520 B/op	      13 allocs/op
Benchmark_1000_StringConcator_WriteStrings-4   	   30000	     50481 ns/op	   10520 B/op	      13 allocs/op
Benchmark_1000_StringConcator_WriteStrings-4   	   30000	     49611 ns/op	   10520 B/op	      13 allocs/op
Benchmark_1000_StringConcator_WriteStrings-4   	   30000	     50244 ns/op	   10520 B/op	      13 allocs/op
Benchmark_1000_StringConcator_WriteStrings-4   	   30000	     50629 ns/op	   10520 B/op	      13 allocs/op
Benchmark_1000_StringConcator_WriteStrings-4   	   30000	     50865 ns/op	   10520 B/op	      13 allocs/op
Benchmark_1000_StringConcator_WriteStrings-4   	   30000	     49817 ns/op	   10520 B/op	      13 allocs/op
Benchmark_1000_StringConcator_WriteStrings-4   	   30000	     52364 ns/op	   10520 B/op	      13 allocs/op
Benchmark_1000_StringConcator_WriteStrings-4   	   30000	     49881 ns/op	   10520 B/op	      13 allocs/op
Benchmark_1000_StringConcator_WriteStrings-4   	   30000	     52590 ns/op	   10520 B/op	      13 allocs/op
Benchmark_1000_BytesBuffer-4                   	  100000	     23816 ns/op	   12512 B/op	       8 allocs/op
Benchmark_1000_BytesBuffer-4                   	  100000	     23355 ns/op	   12512 B/op	       8 allocs/op
Benchmark_1000_BytesBuffer-4                   	   50000	     24555 ns/op	   12512 B/op	       8 allocs/op
